# Résultats A3C Standard
# Format: timestamp,récompense,longueur_épisode1774986348.8035426,0.0,27000
1774989042.7580028,0.0,27000
1774989202.5502925,0.0,27000
1774989365.5710173,0.0,27000
1774989536.81136,0.0,27000
1774989707.8226209,0.0,27000
1774989870.7064373,0.0,27000
1774990031.9031086,0.0,27000
1774990193.4313252,1.0,27000
1774990254.0146894,0.0,122
1774990314.5937855,0.0,122
1774990375.1546242,0.0,122
1774990435.8110602,0.0,122
1774990496.4868045,0.0,122
1774990557.3329878,0.0,122
1774990617.9469638,0.0,122
1774990678.8030255,0.0,122
1774990739.3921726,0.0,122
1774990800.023432,0.0,122
1774990860.6435935,0.0,122
1774990921.1716151,0.0,122
1774990981.769896,0.0,122
1774991042.4099796,0.0,122
1774991103.059138,0.0,122
1774991163.7250373,0.0,122
1774991224.2885346,0.0,122
1774991284.9051106,0.0,122
1774991345.6803842,0.0,122
1774991406.213223,0.0,122
1774991466.7572384,0.0,122
1774991527.343254,0.0,122
1774991587.988121,0.0,122
1774991648.6415162,0.0,122
1774991709.132872,0.0,122
1774991769.698439,0.0,122
1774991830.2894442,0.0,122
1774991891.047177,0.0,122
1774991951.7094305,0.0,122
1774992012.2471669,0.0,122
1774992072.8261416,0.0,122
1774992133.3374581,0.0,122
1774992194.0733783,0.0,122
1774992254.6717947,0.0,122
1774992315.2828305,0.0,122
1774992375.8266857,0.0,122
1774992436.6267972,0.0,122
1774992497.4594424,0.0,122
1774992558.0360053,0.0,122
1774992618.6599529,0.0,122
1774992679.2546976,0.0,122
1774992739.8355796,0.0,122
1774992800.39024,0.0,122
1774992860.8776407,0.0,122
1774992921.3862865,0.0,122
1774992982.0012739,0.0,122
1774993042.588095,0.0,122
1774993103.0701818,0.0,122
1774993163.655685,0.0,122
1774993224.4690871,0.0,122
1774993285.0521119,0.0,122
1774993345.5923567,0.0,122
1774993406.1816592,0.0,122
1774993466.7967536,0.0,122
1774993527.4338834,0.0,122
1774993690.9952822,0.0,27000
1774993751.5846057,0.0,122
1774993916.8136394,0.0,27000
1774994079.551517,0.0,27000
1774994243.0867133,0.0,27000
1774994303.7271862,0.0,122
1774994364.2501101,0.0,122
1774994527.7176394,0.0,27000
1774994691.0340042,2.0,27000
